,Date,Time,TxnCode,OfficeID,Country,Origin,Destination,RoundTrip,NbSegments,Seg1Departure,Seg1Arrival,Seg1Date,Seg1Carrier,Seg1BookingCode,Seg2Departure,Seg2Arrival,Seg2Date,Seg2Carrier,Seg2BookingCode,Seg3Departure,Seg3Arrival,Seg3Date,Seg3Carrier,Seg3BookingCode,Seg4Departure,Seg4Arrival,Seg4Date,Seg4Carrier,Seg4BookingCode,Seg5Departure,Seg5Arrival,Seg5Date,Seg5Carrier,Seg5BookingCode,Seg6Departure,Seg6Arrival,Seg6Date,Seg6Carrier,Seg6BookingCode,From,IsPublishedForNeg,IsFromInternet,IsFromVista,TerminalID,InternetOffice,booked
237,2013-01-01,17:07:06,FXP,6ec95b5d47a8864fb45dd8c2265b4462,AU,MEL,SYD,1.0,2.0,MEL,SYD,2013-01-03,BP,S,SYD,MEL,2013-01-10,BP,O,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SYD,1.0
275,2013-01-01,02:04:11,FQP,074543ae7a58f4f4c0833d023b2c0db7,CH,ZRH,BKK,1.0,4.0,ZRH,LHR,2013-07-13,LK, ,LHR,BKK,2013-07-13,BP, ,BKK,LHR,2013-07-27,BP, ,LHR,ZRH,2013-07-27,LK, ,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,GVA,1.0
284,2013-01-01,20:29:58,MPT,b82cb8b2c2649bede222021197e815cc,CA,YYC,PEK,1.0,2.0,YYC,PEK,2013-05-05,,,PEK,YYC,2013-05-23,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YTO,1.0
303,2013-01-01,09:08:34,FXX,1722290df1e162d326280c5d4a82657b,CO,BOG,MDE,0.0,1.0,BOG,MDE,2013-01-02,KG,C,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,c9583153806930aec5bdefb42750e213,BOG,1.0
315,2013-01-01,02:05:23,MPT,4d9b402b8d1ec54ee18899df03fb245e,IN,HYD,DEL,0.0,1.0,HYD,DEL,2013-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,AMD,1.0
323,2013-01-01,09:59:31,CCP,3565e31495ecfd46fa018339d20382b1,SA,DMM,JED,0.0,1.0,DMM,JED,2013-01-16,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
349,2013-01-01,21:39:19,MPT,624d8c3ac0b3a7ca03e3c167e0f48327,DE,HKG,MNL,1.0,2.0,HKG,MNL,2013-02-09,WR,,MNL,HKG,2013-02-15,WR,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
398,2013-01-01,15:07:25,MPT,c8daef4f8bf73a61aa2c928705f7b82d,ES,DUS,IST,0.0,1.0,DUS,IST,2013-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MAD,1.0
426,2013-01-01,22:56:44,MPT,25abb7ad4526d23ce71ee53ab80140f5,US,JFK,STI,1.0,2.0,JFK,STI,2013-07-01,KK,,STI,JFK,2013-07-19,KK,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LAX,1.0
429,2013-01-01,02:08:25,CCP,3565e31495ecfd46fa018339d20382b1,SA,JED,RUH,0.0,1.0,JED,RUH,2013-01-09,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
432,2013-01-01,12:55:53,FCP,3565e31495ecfd46fa018339d20382b1,SA,RUH,JED,0.0,1.0,RUH,JED,2013-01-14,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
435,2013-01-01,20:27:06,FFP,2d6abadc14d238b6dbd204505bd7b67e,AU,BNE,LHR,0.0,1.0,BNE,LHR,2013-11-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BNE,1.0
452,2013-01-01,18:08:16,FCP,3565e31495ecfd46fa018339d20382b1,SA,AJF,RUH,0.0,1.0,AJF,RUH,2013-01-02,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
454,2013-01-01,16:33:58,FXP,6ec95b5d47a8864fb45dd8c2265b4462,AU,MEL,SYD,1.0,2.0,MEL,SYD,2013-01-02,BP,L,SYD,MEL,2013-01-09,BP,O,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SYD,1.0
475,2013-01-01,00:03:11,MTP,80aa8dcb9192e6abd723fb68bf7a5674,IL,TLV,JFK,0.0,1.0,TLV,JFK,2013-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,TLV,1.0
496,2013-01-01,21:36:51,MPT,0ee40bf75a74b61a42f0bc473d93e0a4,CA,YYZ,LHE,1.0,2.0,YYZ,LHE,2013-02-12,,,LHE,YYZ,2013-02-24,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YTO,1.0
499,2013-01-01,03:38:05,FQD,e8741eaf2fa2f71f931475d18fa72096,US,LAX,JFK,0.0,1.0,LAX,JFK,2013-07-21,NV,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SEA,1.0
509,2013-01-01,09:50:42,MPT,440642a9bdaeb6287f826cefd73255e8,US,TLV,MAD,1.0,2.0,TLV,MAD,2013-01-04,VI,,MAD,TLV,2013-01-08,VI,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
523,2013-01-01,15:52:23,CCP,3565e31495ecfd46fa018339d20382b1,SA,GIZ,JED,0.0,1.0,GIZ,JED,2013-01-23,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
524,2013-01-01,02:03:18,FQD,4d9b402b8d1ec54ee18899df03fb245e,IN,DEL,CCU,0.0,1.0,DEL,CCU,2013-01-01,4H,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,AMD,1.0
530,2013-01-01,23:32:20,MPT,4639a0da0cf01cb9b6f7c0347a866564,US,BOM,DEL,1.0,2.0,BOM,DEL,2013-02-02,,,DEL,BOM,2013-02-05,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SEA,1.0
547,2013-01-01,11:19:57,FXP,7a6f29e0e948c579859c0bc8314073a5,GB,LHR,EWR,1.0,2.0,LHR,EWR,2013-02-02,LK,F,EWR,LHR,2013-02-07,LK,F,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,7fa1420d0e5a50b892e36ffab1681138,MAN,1.0
561,2013-01-01,05:12:24,CAL,eace22a375a0488a908f50c92cdb4bcf,IL,TLV,BOM,1.0,2.0,TLV,BOM,2013-04-01,VJ,,BOM,TLV,2013-10-01,VJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,TLV,1.0
581,2013-01-01,00:41:22,MPT,3338ec096d4899b7b3a4961e12fdd499,AU,MEL,SYD,0.0,1.0,MEL,SYD,2013-04-16,BP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SYD,1.0
585,2013-01-01,19:15:28,MPT,e8741eaf2fa2f71f931475d18fa72096,US,MNL,NRT,1.0,2.0,MNL,NRT,2013-04-03,,,NRT,MNL,2013-04-07,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SEA,1.0
596,2013-01-01,20:45:46,CAL,72cd5771a011d244c15f9ab2efeb8188,RU,DME,BKK,1.0,2.0,DME,BKK,2013-01-29,JJ,,BKK,DME,2013-02-13,JJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,MOW,1.0
623,2013-01-01,18:15:32,MTP,e08742a93e1d3d9e679723625a3484fc,DE,NUE,BCN,1.0,2.0,NUE,BCN,2013-05-01,,,BCN,NUE,2013-05-06,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
673,2013-01-01,16:21:33,MPT,440642a9bdaeb6287f826cefd73255e8,US,JFK,FCO,1.0,2.0,JFK,FCO,2013-04-23,GX,,FCO,JFK,2013-05-03,GX,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
679,2013-01-01,16:17:50,FCP,3565e31495ecfd46fa018339d20382b1,SA,RUH,DMM,0.0,1.0,RUH,DMM,2013-01-02,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
681,2013-01-01,08:08:53,MPT,440642a9bdaeb6287f826cefd73255e8,US,DXB,JED,1.0,2.0,DXB,JED,2013-01-18,MK,,JED,DXB,2013-01-19,MK,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HPN,1.0
712,2013-01-01,04:21:00,FCP,3565e31495ecfd46fa018339d20382b1,SA,DMM,JED,0.0,1.0,DMM,JED,2013-01-02,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
741,2013-01-01,17:23:48,CCP,3565e31495ecfd46fa018339d20382b1,SA,JED,RUH,0.0,1.0,JED,RUH,2013-01-04,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
744,2013-01-01,07:48:47,CCP,3565e31495ecfd46fa018339d20382b1,SA,JED,RUH,0.0,1.0,JED,RUH,2013-01-25,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
801,2013-01-01,03:29:41,FCP,3565e31495ecfd46fa018339d20382b1,SA,DMM,JED,0.0,1.0,DMM,JED,2013-01-02,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
820,2013-01-01,09:07:20,MPT,b695299cc14ddcd1e31f1c922b3e258c,US,JFK,SJU,1.0,2.0,JFK,SJU,2013-01-03,,,SJU,JFK,2013-01-07,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SJC,1.0
844,2013-01-01,16:08:17,MPT,367937ca733d0d562ca6b751274304c8,GB,LHR,LHE,1.0,2.0,LHR,LHE,2013-01-09,,,LHE,LHR,2013-01-22,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
878,2013-01-01,17:45:29,FCP,4279a4ab3b97dce86fcf13195124f9cf,US,CAI,JED,0.0,1.0,CAI,JED,2013-01-30,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,WAS,1.0
919,2013-01-01,16:51:49,FFP,be9a0d232a218c8444ff34fcdc401741,IN,TRV,RUH,1.0,2.0,TRV,RUH,2013-01-19,OJ,,RUH,TRV,2013-01-26,OJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BOM,1.0
923,2013-01-01,19:09:26,MPT,cf818ddafad144a83967003057e64033,IN,DEL,BOM,0.0,1.0,DEL,BOM,2013-01-02,D6,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BOM,1.0
945,2013-01-01,20:24:25,MTP,5bee9c39dfc492165a2fb9b8835a57d7,TH,BKK,OSL,1.0,2.0,BKK,OSL,2013-02-27,,,OSL,BKK,2013-03-06,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BKK,1.0
957,2013-01-01,09:55:31,MTP,e08742a93e1d3d9e679723625a3484fc,DE,FRA,TXL,1.0,2.0,FRA,TXL,2013-01-11,,,TXL,FRA,2013-01-13,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
959,2013-01-01,21:00:10,CAL,5a773325cb3cf631f9c84fa5d0d24974,IR,IKA,CDG,1.0,2.0,IKA,CDG,2013-01-16,JJ,,CDG,IKA,2013-01-23,JJ,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,THR,1.0
972,2013-01-01,06:15:14,FCP,3565e31495ecfd46fa018339d20382b1,SA,JED,RUH,0.0,1.0,JED,RUH,2013-01-04,KP,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,JED,1.0
978,2013-01-01,14:25:56,FXP,8d2a1e767a6c0231e998716660848886,CA,YYZ,YVR,0.0,2.0,YYZ,YVR,2013-03-16,KM,B,YVR,OGG,2013-03-16,KM,B,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YYZ,1.0
1014,2013-01-02,08:41:57,MPT,03a4fc8b3cd31d6d5b5d7b86d20f4af8,DE,DUS,IST,1.0,2.0,DUS,IST,2013-01-12,,,IST,DUS,2013-01-19,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LEJ,1.0
1017,2013-01-02,09:38:53,FQD,94003c23b4258d887709bffbb4599018,SA,RUH,CGK,1.0,2.0,RUH,CGK,,,,CGK,RUH,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d39dff622b9411fe4e0e81a1d8c31aa6,RUH,1.0
1028,2013-01-02,21:01:45,MPT,0a914cfb66b849dddaa6bb2e66ff0999,DE,HAM,LHR,1.0,2.0,HAM,LHR,2013-04-28,,,LHR,HAM,2013-05-02,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BNJ,1.0
1031,2013-01-02,18:10:42,MPT,788e52ddaa551032c69ba37cc316233f,FR,KUL,LGK,1.0,2.0,KUL,LGK,2013-03-05,,,LGK,KUL,2013-03-14,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PAR,1.0
1043,2013-01-02,19:30:26,MTP,e08742a93e1d3d9e679723625a3484fc,DE,MUC,CMB,1.0,2.0,MUC,CMB,2013-03-01,,,CMB,MUC,2013-04-11,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
1044,2013-01-02,15:03:10,FFP,8e26311e3f5deaceabc65406c823f84d,DE,FRA,VIE,0.0,1.0,FRA,VIE,2013-02-04,7V,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BER,1.0
1046,2013-01-02,04:39:55,MPT,8b4fa4e121637f583bfa86ef0fa26c9e,US,LAX,GUA,1.0,2.0,LAX,GUA,2013-01-10,,,GUA,LAX,2013-01-20,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LAS,1.0
1048,2013-01-02,18:46:53,MPT,77b16e7ba1fdee182116dcd2dad8ec15,GB,MAN,BOM,1.0,2.0,MAN,BOM,2013-01-30,,,BOM,MAN,2013-02-28,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
1049,2013-01-02,23:14:29,MTP,721f4584675b97e865912b3caa6ac4bb,TH,BKK,HKG,0.0,1.0,BKK,HKG,2013-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BKK,1.0
1056,2013-01-02,18:13:19,MTP,80aa8dcb9192e6abd723fb68bf7a5674,IL,TLV,ZRH,1.0,2.0,TLV,ZRH,2013-01-17,,,ZRH,TLV,2013-01-24,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,TLV,1.0
1058,2013-01-02,14:49:11,MPT,dad5b7d2bfeefcf27698c6ea3b10c743,SG,SIN,KUL,1.0,2.0,SIN,KUL,2013-02-09,,,KUL,SIN,2013-02-17,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SIN,1.0
1064,2013-01-02,15:49:56,FXP,8d2a1e767a6c0231e998716660848886,CA,DTW,ORD,0.0,2.0,DTW,ORD,2013-02-04,KM,W,ORD,YYZ,2013-02-04,KM,W,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,YYZ,1.0
1081,2013-01-02,15:40:54,MPT,909e0b385888f1305839025d209a5a93,GB,AMS,SEA,1.0,2.0,AMS,SEA,2013-07-25,,,SEA,AMS,2013-08-01,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
1083,2013-01-02,10:11:46,FXA,be00295076af5aa39c27a0af17b58b26,DE,FRA,SFO,1.0,6.0,FRA,LHR,2013-03-04,LK,J,LHR,ORD,2013-03-04,LK,J,ORD,SFO,2013-03-04,LK,F,SFO,LAX,2013-03-07,LK,F,LAX,LHR,2013-03-07,LK,F,LHR,FRA,2013-03-08,LK,J,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,CGN,1.0
1097,2013-01-02,09:40:30,MPT,ee0795275981f641a67d67e84255cf80,FI,HEL,OUL,0.0,1.0,HEL,OUL,2013-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,HEL,1.0
1106,2013-01-02,11:40:16,MTP,e08742a93e1d3d9e679723625a3484fc,DE,MUC,LIM,0.0,1.0,MUC,LIM,2013-03-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
1108,2013-01-02,08:56:52,MPT,e511e247924b91b23c9e7a114d2cee25,ES,MAD,BKK,0.0,1.0,MAD,BKK,2013-03-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,PMI,1.0
1114,2013-01-02,00:45:01,FCP,1722290df1e162d326280c5d4a82657b,CO,BOG,ADZ,0.0,1.0,BOG,ADZ,2013-02-28,KG,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BOG,1.0
1115,2013-01-02,13:20:46,MPT,533d88ecea8b7fb3425bdf1246cb3763,IN,DEL,MAA,0.0,1.0,DEL,MAA,2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DEL,1.0
1137,2013-01-02,00:21:19,MPT,03a4fc8b3cd31d6d5b5d7b86d20f4af8,DE,MAD,JFK,1.0,2.0,MAD,JFK,2013-01-19,,,JFK,MAD,2013-01-28,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LEJ,1.0
1139,2013-01-02,08:52:28,CAL,44f0338526ae0e9a96776b78baaf23d7,TH,BKK,NRT,1.0,2.0,BKK,NRT,2013-03-12,4B,,NRT,BKK,2013-03-20,4B,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,BKK,1.0
1150,2013-01-02,21:15:19,FXP,43b195ef884e598ce32a85a38aa6e4a3,GB,LHR,SYD,1.0,4.0,LHR,HKG,2013-04-22,MI,Q,HKG,SYD,2013-04-23,MI,Q,SYD,HKG,2013-05-30,MI,L,HKG,LHR,2013-05-31,MI,L,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
1153,2013-01-02,21:51:44,MPT,337544efd6d924b58ec8cbf32482e180,US,JFK,TLV,1.0,2.0,JFK,TLV,2013-02-06,,,TLV,JFK,2013-02-09,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,DCA,1.0
1154,2013-01-02,08:41:39,MPC,624d8c3ac0b3a7ca03e3c167e0f48327,DE,DUS,MIA,1.0,2.0,DUS,MIA,2013-04-26,,,MIA,DUS,2013-05-02,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
1156,2013-01-02,19:36:43,SOC,abaddd0fc60a8d355066339981c70482,GB,LHR,DEL,1.0,2.0,LHR,DEL,2013-01-10,LK,,DEL,LHR,2013-01-11,LK,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
1157,2013-01-02,10:42:17,FFP,ac378ad0eb7b6269d33f6350b6f39e07,GB,LHR,AMS,1.0,2.0,LHR,AMS,2013-02-09,,,AMS,LHR,2013-02-13,,,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,d41d8cd98f00b204e9800998ecf8427e,LON,1.0
1177,2013-01-02,16:44:47,FXP,7cd0cd948d03a1cb4ade5672079f5c50,DE,FRA,SFO,1.0,3.0,FRA,SFO,2013-02-14,FK,F,LAS,IAD,2013-02-26,FK,F,IAD,FRA,2013-02-26,FK,F,,,,,,,,,,,,,,,,1ASI,0,0,0,86d8e090d284c27c573fc85119a8e843,FRA,1.0
1204,2013-01-02,09:40:25,FXX,b8ecee5f2c447cb21e89d65e04947b98,ZA,HRE,JNB,0.0,2.0,HRE,JNB,2013-02-10,LK,J,JNB,CPT,2013-02-11,LK,J,,,,,,,,,,,,,,,,,,,,,1ASI,0,0,0,4b18c818709daf134942b5a16594607d,JNB,1.0
1205,2013-01-02,02:22:33,CCP,bca01624fcac2f6470de7ec5d57ba55a,AU,PVG,SYD,0.0,1.0,PVG,SYD,2013-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,SYD,1.0
1207,2013-01-02,20:42:07,CAL,9530f0a7e694bc9402885b4fa7e094bd,TR,LHR,ISB,1.0,2.0,LHR,ISB,2013-07-26,EU,,ISB,LHR,2013-08-31,EU,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,IST,1.0
1221,2013-01-02,13:56:23,MPT,624d8c3ac0b3a7ca03e3c167e0f48327,DE,FRA,BKK,1.0,2.0,FRA,BKK,2013-04-06,WF,,BKK,FRA,2013-05-05,WF,,,,,,,,,,,,,,,,,,,,,,1ASIWS,0,0,0,d41d8cd98f00b204e9800998ecf8427e,FRA,1.0
